,key,typ,process,shared_edges,extra_edges,TPR_edges,FPR_edges,shared_nodes,extra_nodes,TPR_nodes,FPR_nodes
0,pruning_vertices_auto/ioi_with_mlp/0.005,ioi_with_mlp,pruning_vertices_auto,913,789,0.515819209039548,0.024283647779385062,16,10,0.6153846153846154,0.06944444444444445
1,pruning_vertices_auto/ioi_with_mlp/0.007,ioi_with_mlp,pruning_vertices_auto,855,279,0.4830508474576271,0.008586993321227417,15,4,0.5769230769230769,0.027777777777777776
2,pruning_vertices_auto/ioi_with_mlp/0.01,ioi_with_mlp,pruning_vertices_auto,530,98,0.2994350282485876,0.0030162198762734294,10,2,0.38461538461538464,0.013888888888888888
3,pruning_vertices_auto/ioi_with_mlp/0.015,ioi_with_mlp,pruning_vertices_auto,351,36,0.19830508474576272,0.0011079991382228925,7,1,0.2692307692307692,0.006944444444444444
4,pruning_vertices_auto/ioi_with_mlp/0.02,ioi_with_mlp,pruning_vertices_auto,218,0,0.12316384180790961,0.0,5,0,0.19230769230769232,0.0
5,pruning_vertices_auto/ioi_with_mlp/0.003,ioi_with_mlp,pruning_vertices_auto,1306,2568,0.7378531073446327,0.07903727185989966,21,23,0.8076923076923077,0.1597222222222222
6,pruning_edges_auto/ioi_edges/0.0007,ioi_edges,pruning_edges_auto,153,92,0.08644067796610169,0.0028315533532362806,11,27,0.4230769230769231,0.1875
7,pruning_edges_auto/ioi_edges/0.0002,ioi_edges,pruning_edges_auto,361,618,0.20395480225988702,0.01902065187282632,24,79,0.9230769230769231,0.5486111111111112
8,pruning_edges_auto/ioi_edges/0.0003,ioi_edges,pruning_edges_auto,293,478,0.1655367231638418,0.01471176633529285,20,63,0.7692307692307693,0.4375
9,pruning_edges_auto/ioi_edges/0.0001,ioi_edges,pruning_edges_auto,581,1685,0.3282485875706215,0.05186051521959927,26,104,1.0,0.7222222222222222
10,pruning_edges_auto/ioi_edges/0.001,ioi_edges,pruning_edges_auto,141,89,0.07966101694915254,0.0027392200917177065,11,22,0.4230769230769231,0.1527777777777778
11,pruning_edges_auto/ioi_edges/0.0005,ioi_edges,pruning_edges_auto,225,219,0.1271186440677966,0.006740328090855929,15,43,0.5769230769230769,0.2986111111111111
12,pruning_edges_auto/ioi_vertex_prior/0.00015-0.005-0.3,ioi_vertex_prior,pruning_edges_auto,677,1169,0.3824858757062147,0.03597919423840448,25,109,0.9615384615384616,0.7569444444444444
13,pruning_edges_auto/ioi_vertex_prior/0.0001-0.005-0.3,ioi_vertex_prior,pruning_edges_auto,657,1167,0.3711864406779661,0.03591763873072543,26,110,1.0,0.7638888888888888
