,key,nodes,edges
0,pruning_edges_auto/ioi_clipped_edges/0.0007,46,283.0
1,pruning_edges_auto/ioi_clipped_edges/0.0002,124,1151.0
2,pruning_edges_auto/ioi_clipped_edges/0.0003,96,741.0
3,pruning_edges_auto/ioi_clipped_edges/0.0001,140,2086.0
4,pruning_edges_auto/ioi_clipped_edges/0.001,20,152.0
5,pruning_edges_auto/ioi_clipped_edges/0.0005,60,403.0
6,pruning_edges_auto/ioi_clipped_edges/5e-05,141,3405.0
7,pruning_vertices_auto/ioi_with_mlp/0.005,30,1930.0
8,pruning_vertices_auto/ioi_with_mlp/0.007,25,1389.0
9,pruning_vertices_auto/ioi_with_mlp/0.01,20,1009.0
10,pruning_vertices_auto/ioi_with_mlp/0.015,13,510.0
11,pruning_vertices_auto/ioi_with_mlp/0.02,8,266.0
12,pruning_vertices_auto/ioi_with_mlp/0.003,40,3192.0
13,pruning_edges_auto/ioi_vertex_prior/0.0003-0.003-0.2,94,804.0
14,pruning_edges_auto/ioi_vertex_prior/0.0003-0.007-0.5,56,595.0
15,pruning_edges_auto/ioi_vertex_prior/0.0002-0.007-0.5,75,787.0
16,pruning_edges_auto/ioi_vertex_prior/0.0002-0.003-0.5,106,1215.0
17,pruning_edges_auto/ioi_vertex_prior/0.0005-0.015-0.2,24,219.0
18,pruning_edges_auto/ioi_vertex_prior/0.0002-0.003-0.2,106,1022.0
19,pruning_edges_auto/ioi_vertex_prior/0.0003-0.015-0.2,43,308.0
20,pruning_edges_auto/ioi_vertex_prior/0.0002-0.015-0.5,40,382.0
21,pruning_edges_auto/ioi_vertex_prior/0.0005-0.003-0.2,56,486.0
22,pruning_edges_auto/ioi_vertex_prior/0.0003-0.003-0.5,87,895.0
23,pruning_edges_auto/ioi_vertex_prior/0.0005-0.007-0.5,36,398.0
24,pruning_edges_auto/ioi_vertex_prior/0.0005-0.007-0.2,45,355.0
25,pruning_edges_auto/ioi_vertex_prior/0.0005-0.015-0.5,20,208.0
26,pruning_edges_auto/ioi_vertex_prior/0.0001-0.007-0.5,99,1169.0
27,pruning_edges_auto/ioi_vertex_prior/0.0001-0.003-0.2,130,1673.0
28,pruning_edges_auto/ioi_vertex_prior/0.0001-0.003-0.5,125,1781.0
29,pruning_edges_auto/ioi_vertex_prior/0.0001-0.007-0.2,122,1283.0
30,pruning_edges_auto/ioi_vertex_prior/0.0003-0.015-0.5,32,305.0
31,pruning_edges_auto/ioi_vertex_prior/0.0002-0.015-0.2,73,469.0
32,pruning_edges_auto/ioi_vertex_prior/0.0001-0.015-0.5,85,645.0
33,pruning_edges_auto/ioi_vertex_prior/0.0005-0.003-0.5,53,547.0
34,pruning_edges_auto/ioi_vertex_prior/0.0003-0.007-0.2,58,475.0
35,pruning_edges_auto/ioi_vertex_prior/0.0001-0.015-0.2,109,851.0
36,pruning_edges_auto/ioi_vertex_prior/0.0002-0.007-0.2,82,673.0
37,pruning_edges_auto/ioi_iter/0.0007,137,2367.0
38,pruning_edges_auto/ioi_iter/0.0002,142,6637.0
39,pruning_edges_auto/ioi_iter/0.0003,138,3625.0
40,pruning_edges_auto/ioi_iter/0.0001,143,7697.0
41,pruning_edges_auto/ioi_iter/0.0004,141,4379.0
42,pruning_edges_auto/ioi_iter/7e-05,143,10642.0
43,pruning_edges_auto/ioi_iter/0.001,122,2081.0
44,pruning_edges_auto/ioi_iter/0.00015,144,7497.0
45,pruning_edges_auto/ioi_iter/0.0005,138,2844.0
46,pruning_edges_auto/ioi_iter/0.002,106,1209.0
47,pruning_edges_auto/ioi_iter/5e-05,144,11979.0
48,acdc_ioi_runs/0.005,40,279.0
49,acdc_ioi_runs/0.00075,53,604.0
50,acdc_ioi_runs/0.01,38,236.0
51,acdc_ioi_runs/0.03,16,68.0
52,acdc_ioi_runs/0.0005,62,742.0
53,acdc_ioi_runs/0.002,47,389.0
54,acdc_ioi_runs/0.0075,37,257.0
55,acdc_ioi_runs/0.003,40,315.0
56,pruning_vertices_auto/ioi_manual/manual,26,1770.0
