,key,typ,process,shared_edges,extra_edges,TPR_edges,FPR_edges,shared_nodes,extra_nodes,TPR_nodes,FPR_nodes
0,pruning_vertices_auto/gt/0.005,gt,pruning_vertices_auto,138,63,0.07796610169491526,0.0019389984918900618,3,2,0.11538461538461539,0.013888888888888888
1,pruning_vertices_auto/gt/0.001,gt,pruning_vertices_auto,505,921,0.2853107344632768,0.02834631128620233,10,13,0.38461538461538464,0.09027777777777778
2,pruning_vertices_auto/gt/0.01,gt,pruning_vertices_auto,40,32,0.022598870056497175,0.0009848881228647934,2,2,0.07692307692307693,0.013888888888888888
3,pruning_vertices_auto/gt/0.002,gt,pruning_vertices_auto,201,401,0.1135593220338983,0.012341879289649442,3,9,0.11538461538461539,0.0625
4,pruning_edges_auto/gt_edges/0.0002,gt_edges,pruning_edges_auto,81,52,0.04576271186440678,0.001600443199655289,3,8,0.11538461538461539,0.05555555555555555
5,pruning_edges_auto/gt_edges/0.0003,gt_edges,pruning_edges_auto,72,35,0.04067796610169491,0.0010772213843833678,3,8,0.11538461538461539,0.05555555555555555
6,pruning_edges_auto/gt_edges/0.0001,gt_edges,pruning_edges_auto,118,151,0.06666666666666667,0.004647440829768244,7,27,0.2692307692307692,0.1875
7,pruning_edges_auto/gt_edges/7e-05,gt_edges,pruning_edges_auto,128,346,0.07231638418079096,0.010649102828475579,12,55,0.46153846153846156,0.3819444444444444
8,pruning_edges_auto/gt_vertex_prior/0.00015-0.002-0.3,gt_vertex_prior,pruning_edges_auto,129,122,0.07288135593220339,0.0037548859684220248,5,18,0.19230769230769232,0.125
9,pruning_edges_auto/gt_vertex_prior/2e-05-0.002-0.3,gt_vertex_prior,pruning_edges_auto,202,424,0.11412429378531073,0.013049767627958512,11,67,0.4230769230769231,0.4652777777777778
10,pruning_edges_auto/gt_vertex_prior/5e-05-0.002-0.3,gt_vertex_prior,pruning_edges_auto,189,280,0.10677966101694915,0.008617771075066942,16,48,0.6153846153846154,0.3333333333333333
11,pruning_edges_auto/gt_vertex_prior/7e-05-0.002-0.3,gt_vertex_prior,pruning_edges_auto,178,293,0.10056497175141244,0.009017881874980763,12,51,0.46153846153846156,0.3541666666666667
12,pruning_edges_auto/gt_vertex_prior/0.0001-0.002-0.3,gt_vertex_prior,pruning_edges_auto,180,196,0.1016949152542373,0.006032439752546859,10,30,0.38461538461538464,0.20833333333333334
13,pruning_edges_auto/gt_edges_unif/0.0002,gt_edges_unif,pruning_edges_auto,118,86,0.06666666666666667,0.002646886830199132,6,10,0.23076923076923078,0.06944444444444445
14,pruning_edges_auto/gt_edges_unif/0.0003,gt_edges_unif,pruning_edges_auto,79,55,0.04463276836158192,0.0016927764611738634,4,8,0.15384615384615385,0.05555555555555555
15,pruning_edges_auto/gt_edges_unif/0.0001,gt_edges_unif,pruning_edges_auto,152,155,0.08587570621468926,0.004770551845126343,7,19,0.2692307692307692,0.13194444444444445
16,pruning_edges_auto/gt_edges_unif/7e-05,gt_edges_unif,pruning_edges_auto,186,226,0.10508474576271186,0.006955772367732603,12,29,0.46153846153846156,0.2013888888888889
17,pruning_edges_auto/gt_edges_unif/0.00015,gt_edges_unif,pruning_edges_auto,140,134,0.07909604519774012,0.004124219014496322,7,19,0.2692307692307692,0.13194444444444445
18,pruning_edges_auto/gt_edges_unif/5e-05,gt_edges_unif,pruning_edges_auto,224,251,0.12655367231638417,0.007725216213720723,12,28,0.46153846153846156,0.19444444444444445
19,acdc_gt_runs/0.0002,acdc_gt_runs,acdc_gt_runs,122,176,0.06892655367231638,0.0054168846757563635,9,21,0.34615384615384615,0.14583333333333334
20,acdc_gt_runs/0.0001,acdc_gt_runs,acdc_gt_runs,181,297,0.10225988700564972,0.009140992890338862,12,34,0.46153846153846156,0.2361111111111111
21,acdc_gt_runs/manual,acdc_gt_runs,acdc_gt_runs,100,135,0.05649717514124294,0.0041549967683358465,3,6,0.11538461538461539,0.041666666666666664
22,acdc_gt_runs/0.001,acdc_gt_runs,acdc_gt_runs,60,80,0.03389830508474576,0.002462220307161983,4,11,0.15384615384615385,0.0763888888888889
23,acdc_gt_runs/0.01,acdc_gt_runs,acdc_gt_runs,27,34,0.015254237288135594,0.0010464436305438428,3,7,0.11538461538461539,0.04861111111111111
24,acdc_gt_runs/0.00015,acdc_gt_runs,acdc_gt_runs,158,228,0.08926553672316384,0.007017327875411652,11,31,0.4230769230769231,0.2152777777777778
25,acdc_gt_runs/0.0005,acdc_gt_runs,acdc_gt_runs,82,104,0.04632768361581921,0.003200886399310578,7,13,0.2692307692307692,0.09027777777777778
