,key,nodes,edges,loss
0,results/pruning/ioi/mean/acdc/edges_0.0015.pth,86,958,
1,results/pruning/ioi/mean/acdc/edges_0.03.pth,38,218,
2,results/pruning/ioi/mean/acdc/edges_0.02.pth,45,251,
3,results/pruning/ioi/mean/acdc/edges_manual.pth,38,963,
4,results/pruning/ioi/mean/acdc/edges_0.01.pth,51,304,
5,results/pruning/ioi/mean/acdc/edges_0.003.pth,77,678,
6,results/pruning/ioi/mean/acdc/edges_0.05.pth,38,186,
7,results/pruning/ioi/mean/acdc/edges_0.005.pth,64,429,
8,results/pruning/ioi/mean/acdc/edges_0.002.pth,83,874,
9,results/pruning/ioi/resample/acdc/edges_0.0003.pth,92,996,
10,results/pruning/ioi/resample/acdc/edges_0.0015.pth,52,345,
11,results/pruning/ioi/resample/acdc/edges_0.0007.pth,71,592,
12,results/pruning/ioi/resample/acdc/edges_0.0005.pth,74,717,
13,results/pruning/ioi/resample/acdc/edges_manual.pth,38,963,
14,results/pruning/ioi/resample/acdc/edges_0.0009.pth,62,499,
15,results/pruning/ioi/resample/acdc/edges_0.00015.pth,114,1611,
16,results/pruning/ioi/resample/acdc/edges_0.005.pth,33,149,
17,results/pruning/ioi/resample/acdc/edges_0.002.pth,44,275,
18,results/pruning/ioi/resample/acdc/edges_0.0002.pth,104,1247,
19,results/pruning/ioi/resample/acdc/edges_0.0012.pth,59,406,
20,results/pruning/ioi/oa/acdc/edges_0.0003.pth,79,936,
21,results/pruning/ioi/oa/acdc/edges_0.0075.pth,49,257,
22,results/pruning/ioi/oa/acdc/edges_0.0001.pth,98,1539,
23,results/pruning/ioi/oa/acdc/edges_0.00075.pth,65,604,
24,results/pruning/ioi/oa/acdc/edges_0.00017.pth,89,1201,
25,results/pruning/ioi/oa/acdc/edges_0.03.pth,23,68,
26,results/pruning/ioi/oa/acdc/manual,38,963,0.06541297901421786
27,results/pruning/ioi/oa/acdc/edges_0.001.pth,27,140,
28,results/pruning/ioi/oa/acdc/edges_0.0005.pth,74,742,
29,results/pruning/ioi/oa/acdc/edges_manual.pth,38,963,
30,results/pruning/ioi/oa/acdc/edges_0.01.pth,49,236,
31,results/pruning/ioi/oa/acdc/edges_0.003.pth,52,315,
32,results/pruning/ioi/oa/acdc/edges_0.00025.pth,86,1043,
33,results/pruning/ioi/oa/acdc/edges_0.005.pth,52,279,
34,results/pruning/ioi/oa/acdc/edges_0.002.pth,59,389,
35,results/pruning/ioi/oa/acdc/edges_7.5e-05.pth,111,1851,
36,results/pruning/ioi/oa/acdc/edges_0.0002.pth,86,1108,
37,results/pruning/ioi/cf/acdc/edges_0.0003.pth,53,375,
