,key,nodes,edges,loss
38,results/pruning/ioi/cf/acdc/edges_0.0075.pth,21,54,
39,results/pruning/ioi/cf/acdc/edges_0.0001.pth,74,699,
40,results/pruning/ioi/cf/acdc/edges_0.001.pth,46,202,
41,results/pruning/ioi/cf/acdc/edges_0.0005.pth,52,293,
42,results/pruning/ioi/cf/acdc/edges_manual.pth,38,963,
43,results/pruning/ioi/cf/acdc/edges_0.003.pth,30,94,
44,results/pruning/ioi/cf/acdc/edges_0.005.pth,27,73,
45,results/pruning/ioi/cf/acdc/edges_0.0002.pth,63,481,
46,results/pruning/ioi/mean/eap/edges_0.09.pth,95,934,
47,results/pruning/ioi/mean/eap/edges_0.15.pth,52,290,
48,results/pruning/ioi/mean/eap/edges_0.135.pth,57,353,
49,results/pruning/ioi/mean/eap/edges_0.06.pth,116,1815,
50,results/pruning/ioi/mean/eap/edges_0.11.pth,79,649,
51,results/pruning/ioi/mean/eap/edges_0.1.pth,85,767,
52,results/pruning/ioi/mean/eap/edges_0.02.pth,144,6049,
53,results/pruning/ioi/mean/eap/edges_0.12.pth,68,481,
54,results/pruning/ioi/mean/eap/edges_0.08.pth,102,1127,
55,results/pruning/ioi/mean/eap/edges_0.17.pth,46,230,
56,results/pruning/ioi/mean/eap/edges_0.07.pth,107,1385,
57,results/pruning/ioi/mean/eap/edges_0.25.pth,27,105,
58,results/pruning/ioi/resample/eap/edges_0.012.pth,107,1047,
59,results/pruning/ioi/resample/eap/edges_0.03.pth,58,349,
60,results/pruning/ioi/resample/eap/edges_0.015.pth,98,833,
61,results/pruning/ioi/resample/eap/edges_0.06.pth,39,151,
62,results/pruning/ioi/resample/eap/edges_0.025.pth,64,428,
63,results/pruning/ioi/resample/eap/edges_0.02.pth,74,563,
64,results/pruning/ioi/resample/eap/edges_0.04.pth,48,244,
65,results/pruning/ioi/resample/eap/edges_0.08.pth,24,84,
66,results/pruning/ioi/resample/eap/edges_0.01.pth,114,1263,
67,results/pruning/ioi/oa/eap/edges_0.012.pth,111,1309,
68,results/pruning/ioi/oa/eap/edges_0.03.pth,65,521,
69,results/pruning/ioi/oa/eap/edges_0.015.pth,96,1037,
70,results/pruning/ioi/oa/eap/edges_0.06.pth,41,249,
71,results/pruning/ioi/oa/eap/edges_0.1.pth,26,103,
72,results/pruning/ioi/oa/eap/edges_0.025.pth,70,637,
73,results/pruning/ioi/oa/eap/edges_0.02.pth,77,787,
74,results/pruning/ioi/oa/eap/edges_0.04.pth,55,397,
75,results/pruning/ioi/oa/eap/edges_0.08.pth,34,167,
76,results/pruning/ioi/oa/eap/edges_0.05.pth,45,307,
77,results/pruning/ioi/cf/eap/edges_0.012.pth,94,1072,
78,results/pruning/ioi/cf/eap/edges_0.03.pth,56,410,
79,results/pruning/ioi/cf/eap/edges_0.015.pth,81,828,
80,results/pruning/ioi/cf/eap/edges_0.06.pth,36,175,
81,results/pruning/ioi/cf/eap/edges_0.025.pth,63,499,
82,results/pruning/ioi/cf/eap/edges_0.02.pth,69,620,
83,results/pruning/ioi/cf/eap/edges_0.04.pth,46,303,
84,results/pruning/ioi/cf/eap/edges_0.08.pth,25,89,
85,results/pruning/ioi/cf/eap/edges_0.01.pth,103,1294,
86,results/pruning/ioi/mean/hc/0.0025,58,275,0.6876488476991653
87,results/pruning/ioi/mean/hc/0.0007,112,976,0.3937901586294174
88,results/pruning/ioi/mean/hc/0.005,28,103,1.1561461091041565
89,results/pruning/ioi/mean/hc/0.0003,127,1569,0.2661004655063152
90,results/pruning/ioi/mean/hc/0.001,109,796,0.42525441497564315
91,results/pruning/ioi/mean/hc/0.0005,108,1024,0.37972714453935624
92,results/pruning/ioi/mean/hc/0.0015,80,477,0.6036281600594521
93,results/pruning/ioi/mean/hc/0.002,70,353,0.5645563274621963
94,results/pruning/ioi/mean/hc/0.003,47,227,0.8193216890096664
95,results/pruning/ioi/resample/hc/0.005,37,208,2.783312439918518
96,results/pruning/ioi/resample/hc/0.0014,125,1137,1.3783291697502136
97,results/pruning/ioi/resample/hc/0.007,26,123,3.725213658809662
98,results/pruning/ioi/resample/hc/0.001,136,1712,1.0652859121561051
99,results/pruning/ioi/resample/hc/0.01,19,57,4.696622467041015
100,results/pruning/ioi/resample/hc/0.002,100,668,1.9877424955368042
101,results/pruning/ioi/resample/hc/0.003,62,345,2.4873197793960573
102,results/pruning/ioi/resample/hc/0.0016,112,917,1.670513141155243
103,results/pruning/ioi/resample/hc/0.0012,131,1320,1.29233238697052
104,results/pruning/ioi/oa/hc/0.0007,34,223,0.10650944225490093
105,results/pruning/ioi/oa/hc/0.0002,97,755,0.07025784347206354
106,results/pruning/ioi/oa/hc/0.0003,77,540,0.0831635819748044
107,results/pruning/ioi/oa/hc/0.0001,133,1837,0.05926460567861795
108,results/pruning/ioi/oa/hc/0.0004,64,380,0.08650465682148933
109,results/pruning/ioi/oa/hc/0.001,31,157,0.13372991569340228
110,results/pruning/ioi/oa/hc/0.00015,111,1015,0.06315380986779928
111,results/pruning/ioi/oa/hc/0.0005,43,269,0.09898720309138298
112,results/pruning/ioi/oa/hc/0.0015,156,23720,
113,results/pruning/ioi/cf/hc/2e-05,140,2427,0.04112136419862509
114,results/pruning/ioi/cf/hc/0.0002,63,342,0.08805011212825775
115,results/pruning/ioi/cf/hc/0.0001,76,513,0.05968501232564449
116,results/pruning/ioi/cf/hc/7e-05,85,655,0.05676509477198124
117,results/pruning/ioi/cf/hc/0.001,35,135,0.1273181688040495
118,results/pruning/ioi/cf/hc/0.0005,38,142,0.11175569891929626
119,results/pruning/ioi/cf/hc/5e-05,107,973,0.052192377112805846
120,results/pruning/ioi/mean/unif/0.0007,57,442,0.26482187658548356
121,results/pruning/ioi/mean/unif/0.005,26,117,0.5857430011034012
122,results/pruning/ioi/mean/unif/0.0002,78,794,0.15945242270827292
123,results/pruning/ioi/mean/unif/0.0001,102,1174,0.12783210203051568
124,results/pruning/ioi/mean/unif/0.001,46,325,0.2884382866322994
125,results/pruning/ioi/mean/unif/0.01,18,73,0.9013860195875167
126,results/pruning/ioi/mean/unif/0.0005,59,492,0.24014961272478103
127,results/pruning/ioi/mean/unif/0.002,34,192,0.40008285343647004
128,results/pruning/ioi/mean/unif/0.003,31,165,0.44463604539632795
129,results/pruning/ioi/resample/unif/0.005,63,389,1.055455505847931
130,results/pruning/ioi/resample/unif/0.0003,107,1116,0.27806451767683027
131,results/pruning/ioi/resample/unif/0.001,91,804,0.4442922666668892
132,results/pruning/ioi/resample/unif/0.01,37,193,2.3147016286849977
133,results/pruning/ioi/resample/unif/0.025,21,76,4.02329158782959
134,results/pruning/ioi/resample/unif/0.0005,95,946,0.36661757379770277
135,results/pruning/ioi/resample/unif/0.002,78,552,0.614087438583374
136,results/pruning/ioi/resample/unif/0.015,28,152,2.781933230161667
137,results/pruning/ioi/resample/unif/0.0075,43,236,2.061580699682236
138,results/pruning/ioi/resample/unif/0.003,71,502,0.7422336012125015
139,results/pruning/ioi/oa/unif/0.0007,36,179,0.08425092082470656
140,results/pruning/ioi/oa/unif/0.00025,53,367,0.0650949077680707
141,results/pruning/ioi/oa/unif/0.0002,57,413,0.05773298647254706
142,results/pruning/ioi/oa/unif/3e-05,117,1530,0.04379233494400978
143,results/pruning/ioi/oa/unif/0.0003,56,324,0.06913553364574909
144,results/pruning/ioi/oa/unif/0.0001,78,670,0.05566540267318487
145,results/pruning/ioi/oa/unif/0.00016,61,485,0.05976748839020729
146,results/pruning/ioi/oa/unif/7e-05,92,835,0.048433867283165455
147,results/pruning/ioi/oa/unif/0.001,35,147,0.09256314523518086
148,results/pruning/ioi/oa/unif/0.00013,71,573,0.057847542129456996
149,results/pruning/ioi/oa/unif/0.0005,43,235,0.07302075512707233
150,results/pruning/ioi/oa/unif/0.002,26,81,0.13217004016041756
151,results/pruning/ioi/oa/unif/5e-05,104,1157,0.05091389827430248
152,results/pruning/ioi/cf/unif/2e-05,78,849,0.023947101458907126
153,results/pruning/ioi/cf/unif/0.0002,43,198,0.05157093163579703
154,results/pruning/ioi/cf/unif/3e-05,69,652,0.028248488809913395
155,results/pruning/ioi/cf/unif/0.0001,53,288,0.038364901579916476
156,results/pruning/ioi/cf/unif/1.5e-05,87,1067,0.018878829991444947
157,results/pruning/ioi/cf/unif/7e-05,57,361,0.0356456283479929
158,results/pruning/ioi/cf/unif/0.001,29,93,0.10558602772653103
159,results/pruning/ioi/cf/unif/1e-05,102,1388,0.014136793976649641
160,results/pruning/ioi/cf/unif/0.0005,33,113,0.07855870388448238
161,results/pruning/ioi/cf/unif/0.002,20,55,0.14328930862247943
162,results/pruning/ioi/cf/unif/5e-05,57,448,0.03254820620641112
