,method,lamb,nodes,edges,loss
21,0_manual,,9,235,0.0219543362036347
23,acdc_gt_runs,0.01,10,61,0.0372950356453657
22,acdc_gt_runs,0.001,15,140,0.0225715531036257
25,acdc_gt_runs,0.0005,20,186,0.0181037172675132
19,acdc_gt_runs,0.0002,30,298,0.0165486971382051
24,acdc_gt_runs,0.00015,42,386,0.0168753307312726
20,acdc_gt_runs,0.0001,46,478,0.0146697845309972
26,acdc_gt_runs,5e-05,67,771,0.0124699556734412
27,eap_gt_runs,0.005,13,87,0.0372986525297164
29,eap_gt_runs,0.004,16,123,0.0360903243534267
32,eap_gt_runs,0.003,24,159,0.0285908755846321
31,eap_gt_runs,0.002,43,319,0.0192484680563211
28,eap_gt_runs,0.0014,57,448,0.0150872546713799
30,eap_gt_runs,0.001,73,714,0.0130419082473963
5,pruning_edges_auto/gt_edges,0.0003,11,107,0.0171546262223273
4,pruning_edges_auto/gt_edges,0.0002,11,133,0.0151155731175094
6,pruning_edges_auto/gt_edges,0.0001,34,269,0.0131764181889593
7,pruning_edges_auto/gt_edges,7e-05,67,474,0.0122520206496119
14,pruning_edges_auto/gt_edges_unif,0.0003,12,134,0.0141715525183826
13,pruning_edges_auto/gt_edges_unif,0.0002,16,204,0.0118201131001114
17,pruning_edges_auto/gt_edges_unif,0.00015,26,274,0.0102518717292696
15,pruning_edges_auto/gt_edges_unif,0.0001,26,307,0.0115778964012861
16,pruning_edges_auto/gt_edges_unif,7e-05,41,412,0.0093889634124934
18,pruning_edges_auto/gt_edges_unif,5e-05,40,475,0.0091389851178973
8,pruning_edges_auto/gt_vertex_prior,0.00015,23,251,0.0102100025396794
12,pruning_edges_auto/gt_vertex_prior,0.0001,40,376,0.0097584453877061
11,pruning_edges_auto/gt_vertex_prior,7e-05,63,471,0.0100466936361044
10,pruning_edges_auto/gt_vertex_prior,5e-05,64,469,0.0098845331463962
9,pruning_edges_auto/gt_vertex_prior,2e-05,78,626,0.0095819630660116
2,pruning_vertices_auto/gt,0.01,4,72,0.0243198605254292
0,pruning_vertices_auto/gt,0.005,5,201,0.0151270426344126
3,pruning_vertices_auto/gt,0.002,12,602,0.0087806321680545
1,pruning_vertices_auto/gt,0.001,23,1426,0.0064247987000271
