,key1,pruning_vertices_auto/gt/0.005,pruning_vertices_auto/gt/0.001,pruning_vertices_auto/gt/0.01,pruning_vertices_auto/gt/0.002,pruning_edges_auto/gt_edges/0.0002,pruning_edges_auto/gt_edges/0.0003,pruning_edges_auto/gt_edges/0.0001,pruning_edges_auto/gt_edges/7e-05,pruning_edges_auto/gt_vertex_prior/0.00015-0.002-0.3,pruning_edges_auto/gt_vertex_prior/2e-05-0.002-0.3,pruning_edges_auto/gt_vertex_prior/5e-05-0.002-0.3,pruning_edges_auto/gt_vertex_prior/7e-05-0.002-0.3,pruning_edges_auto/gt_vertex_prior/0.0001-0.002-0.3,pruning_edges_auto/gt_edges_unif/0.0002,pruning_edges_auto/gt_edges_unif/0.0003,pruning_edges_auto/gt_edges_unif/0.0001,pruning_edges_auto/gt_edges_unif/7e-05,pruning_edges_auto/gt_edges_unif/0.00015,pruning_edges_auto/gt_edges_unif/5e-05,acdc_gt_runs/0.0002,acdc_gt_runs/0.0001,acdc_gt_runs/manual,acdc_gt_runs/0.001,acdc_gt_runs/0.01,acdc_gt_runs/0.00015,acdc_gt_runs/0.0005,acdc_gt_runs/5e-05,eap_gt_runs/0.005,eap_gt_runs/0.0014,eap_gt_runs/0.004,eap_gt_runs/0.001,eap_gt_runs/0.002,eap_gt_runs/0.003
0,pruning_vertices_auto/gt/0.005,1.0,1.0,1.0,1.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.2,0.2,0.2,0.8,0.6,0.8,0.4,0.8,0.4,0.8,0.8,0.6
1,pruning_vertices_auto/gt/0.001,1.0,1.0,1.0,0.9166666666666666,0.7272727272727273,0.6363636363636364,0.5217391304347826,0.8260869565217391,0.5652173913043478,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.782608695652174,0.6875,0.75,0.6086956521739131,0.8695652173913043,0.6956521739130435,0.8260869565217391,0.5652173913043478,0.6956521739130435,0.5555555555555556,0.5333333333333333,0.6,0.6521739130434783,0.55,0.8260869565217391,0.6923076923076923,0.6956521739130435,0.625,0.782608695652174,0.6521739130434783,0.4782608695652174
2,pruning_vertices_auto/gt/0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.25,0.25,0.25,0.75,0.5,0.75,0.25,0.75,0.25,0.75,0.75,0.5
3,pruning_vertices_auto/gt/0.002,1.0,0.9166666666666666,1.0,1.0,0.6363636363636364,0.5454545454545454,0.75,0.9166666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,0.75,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,1.0,0.75,0.9166666666666666,0.4444444444444444,0.4166666666666667,0.5,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.5,0.8333333333333334,0.5833333333333334,0.9166666666666666,0.8333333333333334,0.6666666666666666
4,pruning_edges_auto/gt_edges/0.0002,0.8,0.7272727272727273,1.0,0.6363636363636364,1.0,0.6363636363636364,0.9090909090909091,0.8181818181818182,0.7272727272727273,1.0,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.5454545454545454,0.6363636363636364,0.3333333333333333,0.36363636363636365,0.4,0.6363636363636364,0.45454545454545453,0.8181818181818182,0.36363636363636365,0.7272727272727273,0.36363636363636365,0.9090909090909091,0.7272727272727273,0.45454545454545453
5,pruning_edges_auto/gt_edges/0.0003,0.8,0.6363636363636364,1.0,0.5454545454545454,0.6363636363636364,1.0,1.0,0.9090909090909091,0.5454545454545454,0.8181818181818182,0.7272727272727273,0.9090909090909091,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5454545454545454,0.6363636363636364,0.3333333333333333,0.2727272727272727,0.3,0.7272727272727273,0.36363636363636365,0.8181818181818182,0.2727272727272727,0.6363636363636364,0.36363636363636365,0.7272727272727273,0.6363636363636364,0.5454545454545454
6,pruning_edges_auto/gt_edges/0.0001,0.8,0.5217391304347826,1.0,0.75,0.9090909090909091,1.0,1.0,0.6764705882352942,0.43478260869565216,0.5882352941176471,0.6176470588235294,0.5882352941176471,0.5,0.75,0.75,0.5769230769230769,0.5588235294117647,0.5769230769230769,0.6470588235294118,0.5,0.5882352941176471,0.5555555555555556,0.5333333333333333,0.6,0.6176470588235294,0.5,0.6764705882352942,0.5384615384615384,0.5588235294117647,0.5,0.7352941176470589,0.5,0.4583333333333333
7,pruning_edges_auto/gt_edges/7e-05,1.0,0.8260869565217391,1.0,0.9166666666666666,0.8181818181818182,0.9090909090909091,0.6764705882352942,1.0,0.7391304347826086,0.6119402985074627,0.625,0.6190476190476191,0.65,0.9375,1.0,0.8846153846153846,0.8292682926829268,0.8846153846153846,0.825,0.7666666666666667,0.7391304347826086,0.8888888888888888,0.7333333333333333,0.8,0.6666666666666666,0.8,0.6417910447761194,0.9230769230769231,0.6842105263157895,0.875,0.6417910447761194,0.7209302325581395,0.75
8,pruning_edges_auto/gt_vertex_prior/0.00015-0.002-0.3,1.0,0.5652173913043478,1.0,0.8333333333333334,0.7272727272727273,0.5454545454545454,0.43478260869565216,0.7391304347826086,1.0,0.8260869565217391,0.8695652173913043,0.782608695652174,0.6086956521739131,0.625,0.75,0.5217391304347826,0.6521739130434783,0.6086956521739131,0.6521739130434783,0.6086956521739131,0.6956521739130435,0.5555555555555556,0.4666666666666667,0.5,0.6521739130434783,0.55,0.7391304347826086,0.5384615384615384,0.6521739130434783,0.5,0.8260869565217391,0.6521739130434783,0.4782608695652174
9,pruning_edges_auto/gt_vertex_prior/2e-05-0.002-0.3,1.0,0.8260869565217391,1.0,1.0,1.0,0.8181818181818182,0.5882352941176471,0.6119402985074627,0.8260869565217391,1.0,0.71875,0.7301587301587301,0.8,0.8125,0.8333333333333334,0.8076923076923077,0.6829268292682927,0.8076923076923077,0.65,0.7333333333333333,0.6739130434782609,0.8888888888888888,0.9333333333333333,0.9,0.7142857142857143,0.85,0.6716417910447762,0.8461538461538461,0.7017543859649122,0.875,0.6712328767123288,0.7906976744186046,0.7916666666666666
