,dataset,ablation,method,lamb,loss,edges
175,gt,mean,hc,0.0003,0.061647329851984976,132
176,gt,mean,hc,0.0001,0.04975229185074568,266
177,gt,mean,hc,4e-05,0.039261335227638486,661
178,gt,mean,hc,7e-05,0.04418966732919216,397
179,gt,mean,hc,0.001,0.09364890716969967,80
180,gt,mean,hc,0.00015,0.05432657487690449,204
181,gt,mean,hc,0.0005,0.0817851984873414,108
182,gt,mean,hc,5e-05,0.0397705240175128,594
183,gt,mean,eap,0.006,0.611475695669651,339
184,gt,mean,eap,0.004,0.5325737401843071,733
185,gt,mean,eap,0.0035,0.5611879467964173,939
186,gt,mean,eap,0.01,0.7775183618068695,133
187,gt,mean,eap,0.0045,0.5549866646528244,632
188,gt,mean,eap,0.005,0.5934199035167694,479
189,gt,mean,eap,0.007,0.6108071371912956,265
190,gt,mean,acdc,0.0001,0.09225319176912308,3140
191,gt,mean,acdc,0.03,0.35806132555007936,195
192,gt,mean,acdc,0.1,0.9091520279645919,115
193,gt,mean,acdc,0.001,0.12411616779863835,640
194,gt,mean,acdc,0.02,0.2747214615345001,244
195,gt,mean,acdc,0.0005,0.09251669347286225,1010
196,gt,mean,acdc,manual,0.12526464350521566,235
197,gt,mean,acdc,0.05,0.41545543521642686,193
198,gt,mean,acdc,0.005,0.173470176756382,345
199,gt,mean,acdc,0.002,0.16203268729150294,440
200,gt,mean,acdc,0.0002,0.13098117373883725,1880
201,gt,resample,unif,0.0007,0.1106441855430603,130
202,gt,resample,unif,0.0002,0.070463846065104,241
203,gt,resample,unif,3e-05,0.03181203911080956,801
204,gt,resample,unif,0.0001,0.05571690648794174,349
205,gt,resample,unif,7e-05,0.04855296481400728,429
206,gt,resample,unif,0.001,0.12458000592887401,108
207,gt,resample,unif,0.0005,0.10472931377589703,142
208,gt,resample,unif,0.002,0.16093590743839742,84
209,gt,resample,unif,5e-05,0.04295079298317432,553
210,gt,resample,hc,0.0002,0.09279705993831158,223
211,gt,resample,hc,0.0003,0.10179107934236527,173
212,gt,resample,hc,0.0001,0.07428347617387772,417
213,gt,resample,hc,5.5e-05,0.0712969871237874,830
214,gt,resample,hc,7e-05,0.07473120465874672,516
215,gt,resample,hc,0.001,0.13692947886884213,111
216,gt,resample,hc,0.00015,0.09006786644458771,302
217,gt,resample,hc,0.0005,0.11009867526590825,139
